# author: E. Wes Bethel, Oct 2022
# sample data for use with the plot_3vars.py file
Problem Size,Direct Sum,Vector Sum,Indirect Sum
8MB,1060.5067       ,   1895.730621 ,    230.4562637
16MB,1061.849114    ,   1892.522955 ,    211.2290079
32MB,1062.521596    ,   1905.419194 ,    201.8675972
64MB,1061.681126    ,   1902.178685 ,    197.9320572
128MB,1062.185248   ,   1899.083523 ,    196.0384547
256MB,1061.597153   ,   1900.831724 ,    194.9290215


