# author: E. Wes Bethel, Oct 2022
# sample data for use with the plot_3vars.py file
Problem Size,Direct Sum,Vector Sum,Indirect Sum
8MB,0.517825537       ,   3.70259887 ,    0.45010989
16MB,0.518481013    ,   3.696333897 ,    0.412556656
32MB,0.518809373    ,   3.721521863 ,    0.394272651
64MB,0.518398988   ,   3.715192744 ,    0.386586049
128MB,0.518645141   ,   3.709147506 ,    0.382887607
256MB,0.518357985   ,   3.71256196 ,    0.380720745




















